Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17
2,0,1,0,2,0,1,1,1,0,2,0,0,0,0,0,1,1,10,2,22,1,7,0,16,2,24,1,3,0,2,1,1,0,0,0
2,1,3,1,1,1,1,1,0,2,2,1,0,0,0,0,3,1,4,0,0,0,1,1,2,2,0,0,1,0,2,0,3,1,0,0
2,0,2,0,3,0,2,0,1,1,1,1,0,0,0,0,2,0,3,0,0,0,3,1,1,0,1,0,3,0,2,0,2,1,0,0
1,1,1,0,1,0,1,0,2,1,3,0,0,0,0,0,2,2,4,0,4,3,1,2,2,1,0,0,1,0,2,0,1,0,0,0
3,0,2,0,1,1,1,1,1,0,2,0,31,53,33,63,2,1,4,1,4,1,2,1,0,0,0,0,2,0,2,0,2,1,0,0
1,0,2,2,3,1,3,1,2,0,1,1,31,53,33,63,1,1,3,0,7,0,1,0,2,1,3,2,1,0,1,1,2,0,0,0
2,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,3,1,2,1,6,4,2,0,1,1,1,0,2,1,2,0,1,0,0,0
2,0,3,1,2,0,2,1,2,0,1,0,0,0,0,0,2,1,4,2,1,1,1,0,3,2,2,2,2,0,2,0,2,0,0,0
1,0,1,1,1,0,2,1,10,3,2,0,38,53,43,60,1,0,1,1,3,2,1,0,2,1,1,3,2,0,1,0,2,0,0,0
2,0,2,1,3,0,4,1,6,2,1,0,0,1,3,1,3,2,4,2,5,1,1,2,2,3,0,0,1,0,2,0,1,0,0,0
2,1,2,1,1,1,0,0,2,1,2,1,4,1,2,1,1,1,1,1,5,2,3,0,1,1,0,2,2,1,2,0,3,1,0,0
1,0,1,1,3,0,2,2,18,6,2,1,2,1,4,1,0,0,1,0,3,2,3,1,3,0,1,1,2,0,1,1,1,0,0,0
3,0,2,0,1,1,5,1,2,0,2,0,2,0,2,1,4,1,3,0,7,1,1,1,0,1,1,0,2,0,2,0,3,1,0,0
2,1,3,1,2,1,0,1,2,1,1,1,2,0,3,0,1,3,3,4,3,0,1,3,1,1,0,1,2,1,3,0,2,1,0,0
1,1,1,1,2,0,4,1,4,1,4,0,3,1,2,0,2,0,1,1,1,1,3,0,3,0,1,0,2,0,1,1,1,0,0,0
4,0,3,0,1,0,4,0,4,1,2,1,2,1,2,0,3,0,3,1,0,1,3,1,2,1,1,0,2,0,3,0,2,0,0,0
0,0,1,1,4,0,3,1,18,9,0,1,0,0,0,2,2,1,2,0,0,0,1,1,4,1,3,2,2,0,1,0,2,0,0,0
2,0,2,0,0,0,1,1,12,8,2,0,2,1,1,1,2,3,1,2,0,0,3,3,5,1,3,1,1,0,2,0,1,0,0,0
2,0,2,1,2,1,3,1,5,1,2,1,1,1,1,3,0,1,0,0,1,0,2,1,5,0,18,6,3,0,2,0,3,1,0,0
1,2,1,1,1,1,1,1,4,2,3,1,2,2,0,1,1,1,2,0,0,1,3,1,0,0,1,1,1,1,0,1,1,1,0,0
1,0,2,0,2,0,2,0,1,1,1,0,58,54,63,63,2,0,1,1,1,1,0,0,2,1,1,2,0,0,3,0,1,0,0,0
3,0,2,0,1,0,3,1,7,2,1,0,0,0,0,0,2,0,1,1,0,2,2,1,1,1,2,2,3,0,2,0,2,0,0,0
1,0,1,0,3,1,4,2,5,3,2,1,63,53,68,59,1,0,0,1,0,0,2,1,7,1,2,1,2,0,1,0,1,0,0,0
2,0,2,0,2,1,3,1,4,0,1,0,2,0,2,0,2,0,1,1,1,0,2,1,2,0,4,1,1,0,2,0,3,0,0,0
3,1,2,1,3,0,2,0,2,2,2,1,2,1,3,2,2,2,1,1,1,1,1,1,2,1,5,1,3,0,2,0,3,1,0,0
